Column2,Column3,Column6,Column8,Column17,Column85,Column154,Column155,Column156,90Days,30Days
P00276_11,P00276_11_GU_Data_Extraction_PreActualReg,Go-live / リリース済・本番稼働中,,GUJP,0,,X,< 1 Week,33,14
P00014_04,P00014_04_CheckFlyerFinalProduct,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,X,,< 1 Week,39,13
P00027_02,P00027_02_ReceiveIndustrialPhysiciansReport,Go-live / リリース済・本番稼働中,General Affairs / 総務,FRJP,0,X,,< 1 Week,41,13
P00149,P00149_CheckFlyerInformation,Go-live / リリース済・本番稼働中,Marketing / マーケティング,FRJP,648,X,,< 1 Week,58,13
P00257_02,P00257_02_RPA_fr_AG_weekly_plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,0,,,,32,13
P00276_03,P00276_03_GU_Data_Extraction_OfficialPlan,Go-live / リリース済・本番稼働中,Manufacturing Planning / 商品計画,GUJP,0,,,,33,13
P00128_01,P00128_01_UTme_AggregateLicense,Go-live / リリース済・本番稼働中,EC,FRJP,1890,X,,< 1 Month,34,12
P00147,P00147_ItemTransfer,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,525,X,,< 1 Week,33,12
P00226_01,P00226_01_Income&Inventory_Analysis_WeeklyReport_A,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,260,,X,Weekly,30,12
P00226_02,P00226_02_Income&Inventory_Analysis_WeeklyReport_B,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,30,12
P00245_01,P00245_01_Z-System_Reporting,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,250,,,,54,15
P00253_02,P00253_02_EC_Omni-channel Sales Report_Daily,Go-live / リリース済・本番稼働中,EC,FRCN,180,,,,57,12
P00276_12,P00276_12_GU_Data_Extraction_DLSheet,Go-live / リリース済・本番稼働中,,GUJP,0,,X,< 1 Week,39,12
P00176,P00176_ForcastByBizByDeptReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,416,,X,Weekly,25,11
P00257_01,P00257_01_RPA_fr_AS_weekly_plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,244.6,,,,31,11
P00258_01,P00258_01_RPA_MD_Sls_Sum_Weekly_Plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,407.7,,,,17,11
P00025_02,P00025_02_MedicalCheckupReport,Go-live / リリース済・本番稼働中,General Affairs / 総務,FRJP,0,X,,< 6 Month,17,10
P00172,P00172_OutputInventoryForecast,Go-live / リリース済・本番稼働中,Information Center / 情報センター,FRJP,182,,X,< 1 Week,34,10
P00198,P00198_FutureSumUpSingle,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,997,,,< 1 Week,10,10
P00052,P00052_AxAllocationUpload,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,739,X,,< 1 Month,19,9
P00131_02,P00131_02_SendMailToFlyerSupplier,Go-live / リリース済・本番稼働中,Marketing / マーケティング,FRJP,0,X,,,25,9
P00227_01,P00227_01_OutputSCMForecast_TotalStock,Go-live / リリース済・本番稼働中,Information Center / 情報センター,FRJP,0,,X,< 1 Week,29,9
P00244,P00244_Custom-made_SalesPerformanceManagement,Go-live / リリース済・本番稼働中,EC,FRJP,336,,X,Weekly,66,9
P00258_02,P00258_02_RPA_MD_Pln_Sum_Weekly_Plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,0,,,,23,9
P00069_01,P00069_01_CreateGlobalMDReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,312,,X,Weekly,28,8
P00141,P00141_OutputOfUnifiedManagementForm,Go-live / リリース済・本番稼働中,Information Center / 情報センター,FRJP,0,,X,< 1 Week,29,8
P00151,P00151_SC_Order,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,6849,X,,,43,8
P00155,P00155_SummaryAgainstPreviousWeek,Go-live / リリース済・本番稼働中,Information Center / 情報センター,FRJP,739,,X,< 1 Week,41,8
P00177_02,P00177_02_GlobalHBKKvsMDPlanReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,0,,X,Weekly,26,8
P00226_03,P00226_03_Income&Inventory_Analysis_WeeklyReport_VBA,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Weekly,20,8
P00259_02,P00259_02_RPA_Inv_Weekly_Plan_ByGDept,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,0,,,,16,8
P00259_01,P00259_01_RPA_Inv_Weekly_Plan_ByAll,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,407.7,,,,19,7
P00011_01,P00011_01_PaymentNotice,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,510,X,,< 1 Month,21,6
P00011_02,P00011_02_PaymentNotice_ForeignCurrency,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,0,X,,< 1 Month,31,6
P00029_02,P00029_02_DeliScheSummary,Go-live / リリース済・本番稼働中,BPR / 事業構造改革,FRJP,0,X,,< 1 Day,46,6
P00057,P00057_GJPosting_SAP,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,0,X,,< 1 Month,26,6
P00057,P00057_GJUpload_SAP,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,2895,X,,< 1 Month,26,6
P00062_01,P00062_01_WeeklyAmountReport,Go-live / リリース済・本番稼働中,Sales / 営業,FRJP,208,X,,< 1 Week,16,6
P00093_03,P00093_03_FixLogisticsActualCost2_BudgetvsActual,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,786,X,,< 1 Month,57,6
P00153_01,P00153_01_DeliveryKPI_DownloadQuery,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,557,,X,< 1 Week,23,10
P00177_01,P00177_01_GlobalSeasonReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,104,,X,Weekly,23,6
P00199,P00199_FutureSumUpAll,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,,,< 1 Week,6,6
P00100_01,P00100_01_SplitBCA,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,898,X,,< 6 Month,65,5
P00118_02,P00118_02_CreateContractDraft,Go-live / リリース済・本番稼働中,Legal / 法務,FRJP,0,,X,< 1 Hour,8,5
P00154,P00154_SellingPriceChangeDirectionsNotice,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,627,,X,Weekly,12,5
P00246,P00246_AMEX_Reconciliation,Go-live / リリース済・本番稼働中,Purchasing / 購買,FRJP,120,,X,Weekly,26,9
P00260,P00260_RPA_EC_Weekly_Plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,101.9,,,,11,5
P00266,P00266_RPA_MD_Official_Plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,15.7,,,,6,6
P00276_06,P00276_06_GU_Data_Extraction_ProductionPlan,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,GUJP,0,,,,14,5
P00276_07,P00276_07_GU_Data_Extraction_SeasonalBudget,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,GUJP,0,,,,14,5
P00276_08,P00276_08_GU_Data_Extraction_FiscalYrByDept,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,GUJP,0,,,,13,5
P00015_01,P00015_1_SumUp200NextWeek,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,494,X,,< 1 Week,13,4
P00015_03,P00015_3_SumByTheDayNextWeek,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,X,,< 1 Week,6,4
P00017_05,P00017_05_LogisticsKPI_DownloadWMS,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,644,,X,< 1 Week,20,5
P00276_02,P00276_02_GU_Data_Extraction_WeeklySlsTop,Go-live / リリース済・本番稼働中,Manufacturing Planning / 商品計画,GUJP,0,,,,13,4
P00276_04,P00276_04_GU_Data_Extraction_MonthlyResult,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,GUJP,0,,,,14,4
P00276_05,P00276_05_GU_Data_Extraction_DeptActualBySsn,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,GUJP,0,,,,13,4
P00027_03,P00027_03_CreateInvoice,Go-live / リリース済・本番稼働中,General Affairs / 総務,FRJP,0,X,,< 3 Month,10,3
P00086,P00086_HmUnpaidRentAxUpload,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,0,X,,< 1 Month,4,2
P00193,P00193_EncodingBillingsInOracleAP,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,1350,X,,,3,3
