"@timestamp per week","processName.keyword: Descending",filters,Count
"2020-09-28","P00048_01_MonitorringData_Making_W10JPO16JP_ProdEnv_P00048_UR_W10JPO16JP",STARTED,5
"2020-09-28","P00048_01_MonitorringData_Making_W10JPO16JP_ProdEnv_P00048_UR_W10JPO16JP",COMPLETED,3
"2020-09-28","P00017_05_LogisticsKPI_DownloadWMS_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",STARTED,2
"2020-09-28","P00017_05_LogisticsKPI_DownloadWMS_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",COMPLETED,2
"2020-09-28","P00302_02_AnomalyDetectionSummarizeExcel_W10JPO16JP_ProdEnv_P00302_UR_W10JPO16JP",STARTED,16
"2020-09-28","P00302_02_AnomalyDetectionSummarizeExcel_W10JPO16JP_ProdEnv_P00302_UR_W10JPO16JP",COMPLETED,5
"2020-09-28","P00252_DailyReport_ProdEnv_P00252_UR",STARTED,32
"2020-09-28","P00252_DailyReport_ProdEnv_P00252_UR",COMPLETED,31
"2020-09-28","P00277_01_GU_AutoUpgrade_W10JPO16JP_ProdEnv_P00277_01_UR_W10JPO16JP",STARTED,7
"2020-09-28","P00277_01_GU_AutoUpgrade_W10JPO16JP_ProdEnv_P00277_01_UR_W10JPO16JP",COMPLETED,7
"2020-09-28","P00112_01_MakeBaseData_W10JPO16JP_ProdEnv_P00112_UR_W10JPO16JP",STARTED,0
"2020-09-28","P00112_01_MakeBaseData_W10JPO16JP_ProdEnv_P00112_UR_W10JPO16JP",COMPLETED,0
"2020-09-28","P00268_GUInventorySendMail_W10JPO16JP_ProdEnv_P00268_UR_W10JPO16JP",STARTED,15
"2020-09-28","P00268_GUInventorySendMail_W10JPO16JP_ProdEnv_P00268_UR_W10JPO16JP",COMPLETED,7
"2020-09-28","P00018_03_FixLogisticActualCost_CreateDetailCost_W10JPO16JP_ProdEnv_P00018_AR_W10JPO16JP",STARTED,3
"2020-09-28","P00018_03_FixLogisticActualCost_CreateDetailCost_W10JPO16JP_ProdEnv_P00018_AR_W10JPO16JP",COMPLETED,3
"2020-09-28","P00196_WeeklySalesTopReport_W10JPO16JP_ProdEnv_P00196_UR_W10JPO16JP",STARTED,8
"2020-09-28","P00196_WeeklySalesTopReport_W10JPO16JP_ProdEnv_P00196_UR_W10JPO16JP",COMPLETED,8
"2020-09-28","P00197_MonthlySalesTopReport_W10JPO16JP_ProdEnv_P00197_UR_W10JPO16JP",STARTED,8
"2020-09-28","P00197_MonthlySalesTopReport_W10JPO16JP_ProdEnv_P00197_UR_W10JPO16JP",COMPLETED,8
"2020-09-28","P00200_01_EC_Report_W10JPO16JP_ProdEnv_P00200_01_UR_W10JPO16JP",STARTED,42
"2020-09-28","P00200_01_EC_Report_W10JPO16JP_ProdEnv_P00200_01_UR_W10JPO16JP",COMPLETED,40
"2020-09-28","P00017_03_LogisticsKPI_DC_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",STARTED,7
"2020-09-28","P00017_03_LogisticsKPI_DC_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",COMPLETED,6
"2020-09-28","P00112_02_MakeRiskDeterminationByStore_W10JPO16JP_ProdEnv_P00112_UR_W10JPO16JP",STARTED,0
"2020-09-28","P00112_02_MakeRiskDeterminationByStore_W10JPO16JP_ProdEnv_P00112_UR_W10JPO16JP",COMPLETED,0
"2020-09-28","P00112_03_MakeAuditRecord_W10JPO16JP_ProdEnv_P00112_UR_W10JPO16JP",STARTED,0
"2020-09-28","P00112_03_MakeAuditRecord_W10JPO16JP_ProdEnv_P00112_UR_W10JPO16JP",COMPLETED,0
